text,is_bold,font_size,font_size_rank,centeredness,spacing_before,spacing_after,is_valid_length,page_no
"Id   int    `json:""id""`",0,7,0.26,0.13,0.0,0.0,1,200
"Name string `json:""name""`",0,7,0.26,0.13,0.0,0.0,1,200
},0,7,0.17,0.13,0.0,0.02,0,200
type Comment struct {,0,7,0.26,0.13,0.02,0.0,1,200
"Id      int    `json:""id""`",0,7,0.26,0.13,0.0,0.0,1,200
"Content string `json:""content""`",0,7,0.26,0.13,0.0,0.0,1,200
"Author  string `json:""author""`",0,7,0.26,0.13,0.0,0.0,1,200
},0,7,0.17,0.13,0.0,0.02,0,200
func main() {,0,7,0.26,0.13,0.02,0.02,1,200
post := Post{,0,7,0.26,0.13,0.02,0.0,1,200
"Id:      1,",0,7,0.26,0.13,0.0,0.0,1,200
"Content: ""Hello World!"",",0,7,0.26,0.13,0.0,0.0,1,200
Author: Author{,0,7,0.26,0.13,0.0,0.0,1,200
"Id:   2,",0,7,0.26,0.13,0.0,0.0,1,200
"Name: ""Sau Sheong"",",0,7,0.26,0.13,0.0,0.0,1,200
"},",0,7,0.17,0.13,0.0,0.0,0,200
Comments: []Comment{,0,7,0.26,0.13,0.0,0.0,1,200
Comment{,0,7,0.26,0.13,0.0,0.0,1,200
"Id:      3,",0,7,0.26,0.13,0.0,0.0,1,200
"Content: ""Have a great day!"",",0,7,0.26,0.13,0.0,0.0,1,200
"Author:  ""Adam"",",0,7,0.26,0.13,0.0,0.0,1,200
"},",0,7,0.17,0.13,0.0,0.0,0,200
Comment{,0,7,0.26,0.13,0.0,0.0,1,200
"Id:      4,",0,7,0.26,0.13,0.0,0.0,1,200
"Content: ""How are you today?"",",0,7,0.26,0.13,0.0,0.0,1,200
"Author:  ""Betty"",",0,7,0.26,0.13,0.0,0.0,1,200
"},",0,7,0.17,0.13,0.0,0.0,0,200
"},",0,7,0.17,0.13,0.0,0.0,0,200
},0,7,0.17,0.13,0.0,0.0,0,200
181,1,9,0.3,0.82,0.0,0.0,0,201
Creating Go web services,1,9,0.39,0.37,0.0,0.03,1,201
"jsonFile, err := os.Create(""post.json"")",0,7,0.26,0.14,0.03,0.0,1,201
Creates JSON file,1,9,0.39,0.67,0.0,0.0,1,201
if err != nil {,0,7,0.26,0.14,0.0,0.0,1,201
to store data,1,9,0.39,0.67,0.0,0.0,1,201
"fmt.Println(""Error creating JSON file:"", err)",0,7,0.26,0.14,0.0,0.0,1,201
return,0,7,0.26,0.14,0.0,0.0,1,201
},0,7,0.17,0.14,0.0,0.0,0,201
encoder := json.NewEncoder(jsonFile),0,7,0.26,0.14,0.0,0.0,1,201
Creates encoder,1,9,0.39,0.67,0.0,0.0,1,201
err = encoder.Encode(&post),0,7,0.26,0.14,0.0,0.0,1,201
with JSON file,1,9,0.39,0.67,0.0,0.0,1,201
Encodes,1,9,0.48,0.04,0.0,0.0,1,201
if err != nil {,0,7,0.26,0.14,0.0,0.0,1,201
struct,1,9,0.48,0.05,0.0,0.0,1,201
"fmt.Println(""Error encoding JSON to file:"", err)",0,7,0.26,0.14,0.0,0.0,1,201
into file,1,9,0.48,0.04,0.0,0.0,1,201
return,0,7,0.26,0.14,0.0,0.0,1,201
},0,7,0.17,0.14,0.0,0.0,0,201
},0,7,0.17,0.14,0.0,0.02,0,201
"As before, you create a JSON",0,9,0.3,0.14,0.02,0.0,1,201
file to store the JSON that’s generated. You use this file to,0,9,0.21,0.37,0.0,0.0,1,201
NewEncoder function. Then you call the,0,9,0.21,0.38,0.0,0.0,1,201
Encode method,0,9,0.21,0.71,0.0,0.0,1,201
create an encoder using the,0,9,0.3,0.14,0.0,0.0,1,201
post struct. This will extract the data,0,9,0.21,0.53,0.0,0.0,1,201
on the encoder and pass it a reference to the,0,9,0.3,0.14,0.0,0.0,1,201
from the struct and create,0,9,0.3,0.14,0.0,0.0,1,201
"JSON data, which is then written to the writer you passed in",0,9,0.21,0.36,0.0,0.0,1,201
earlier.,0,9,0.3,0.14,0.0,0.0,1,201
This wraps up the sections on parsing and creating,0,9,0.3,0.17,0.0,0.0,1,201
XML and JSON . Going through,0,9,0.21,0.59,0.0,0.0,1,201
"these sections seems like plodding through similar patterns, but it provides you with",0,9,0.21,0.14,0.0,0.0,0,201
"the grounding you need for the next section, where you’ll create a Go web service.",0,9,0.21,0.14,0.0,0.02,0,201
7.6 Creating Go web services,1,12,0.54,0.07,0.02,0.01,1,201
Creating a Go web service is relatively pain-free. If you’ve arrived here after going,0,9,0.21,0.14,0.01,0.0,0,201
"through the earlier chapters and the earlier sections in this chapter, the rest should",0,9,0.21,0.14,0.0,0.0,0,201
just click and lightbulbs should start flickering on.,0,9,0.3,0.14,0.0,0.0,1,201
You’re going to build a simple,0,9,0.3,0.17,0.0,0.0,1,201
"REST -based web service that allows you to create,",0,9,0.21,0.43,0.0,0.0,1,201
"retrieve, update, and retrieve forum posts. Another way of looking at it is you’re wrap-",0,9,0.21,0.14,0.0,0.0,0,201
ping a web service interface over the,0,9,0.3,0.14,0.0,0.0,1,201
CRUD functions you built in chapter 6. You’ll be,0,9,0.21,0.45,0.0,0.0,1,201
using JSON as the data transport format. This simple web service will be reused to,0,9,0.21,0.14,0.0,0.0,0,201
explain other concepts in the following chapters.,0,9,0.3,0.14,0.0,0.0,1,201
"First, let’s look at the database operations that you’ll need. Essentially you’re going",0,9,0.21,0.17,0.0,0.0,0,201
to reuse—but simplify—the code from section 6.4. The code you need is placed in a,0,9,0.21,0.14,0.0,0.0,0,201
with the package name main,0,9,0.21,0.56,0.0,0.0,1,201
"file named data.go, shown in the following listing,",0,9,0.3,0.14,0.0,0.0,1,201
. The,0,9,0.21,0.8,0.0,0.0,1,201
code isolates what you need to do with the database.,0,9,0.3,0.14,0.0,0.03,1,201
Listing 7.14 Accessing the database with data.go,1,9,0.48,0.17,0.03,0.02,1,201
package main,0,7,0.26,0.14,0.02,0.02,1,201
import (,0,7,0.26,0.14,0.02,0.0,1,201
"""database/sql""",0,7,0.26,0.14,0.0,0.0,1,201
"_ ""github.com/lib/pq""",0,7,0.26,0.14,0.0,0.0,1,201
),0,7,0.17,0.14,0.0,0.02,0,201
var Db *sql.DB,0,7,0.26,0.14,0.02,0.01,1,201
Connects to the Db,1,9,0.39,0.53,0.01,0.0,1,201
func init() {,0,7,0.26,0.14,0.0,0.0,1,201
182,1,9,0.39,0.06,0.0,0.0,0,202
Go web services,1,9,0.39,0.43,0.0,0.0,1,202
C 7,1,7,0.26,0.35,0.0,0.0,0,202
HAPTER,1,6,0.33,0.36,0.0,0.03,1,202
var err error,0,7,0.26,0.13,0.03,0.0,1,202
"Db, err = sql.Open(""postgres"", ""user=gwp dbname=gwp password=gwp ssl-",0,7,0.26,0.13,0.0,0.0,1,202
"mode=disable"")",0,7,0.26,0.15,0.0,0.0,1,202
if err != nil {,0,7,0.26,0.13,0.0,0.0,1,202
panic(err),0,7,0.26,0.13,0.0,0.0,1,202
},0,7,0.17,0.13,0.0,0.0,0,202
},0,7,0.17,0.13,0.0,0.01,0,202
Gets a single post,1,9,0.39,0.63,0.01,0.0,1,202
"func retrieve(id int) (post Post, err error) {",0,7,0.26,0.13,0.0,0.0,1,202
post = Post{},0,7,0.26,0.13,0.0,0.0,1,202
"err = Db.QueryRow(""select id, content, author from posts where id = $1"",",0,7,0.17,0.13,0.0,0.0,0,202
"id).Scan(&post.Id, &post.Content, &post.Author)",0,7,0.26,0.15,0.0,0.0,1,202
return,0,7,0.26,0.13,0.0,0.0,1,202
},0,7,0.17,0.13,0.0,0.0,0,202
Creates a new post,1,9,0.39,0.63,0.0,0.01,1,202
func (post *Post) create() (err error) {,0,7,0.26,0.13,0.01,0.0,1,202
"statement := ""insert into posts (content, author) values ($1, $2) return-",0,7,0.17,0.13,0.0,0.0,0,202
"ing id""",0,7,0.26,0.15,0.0,0.0,1,202
"stmt, err := Db.Prepare(statement)",0,7,0.26,0.13,0.0,0.0,1,202
if err != nil {,0,7,0.26,0.13,0.0,0.0,1,202
return,0,7,0.26,0.13,0.0,0.0,1,202
},0,7,0.17,0.13,0.0,0.0,0,202
defer stmt.Close(),0,7,0.26,0.13,0.0,0.0,1,202
"err = stmt.QueryRow(post.Content, post.Author).Scan(&post.Id)",0,7,0.26,0.13,0.0,0.0,1,202
return,0,7,0.26,0.13,0.0,0.0,1,202
},0,7,0.17,0.13,0.0,0.02,0,202
func (post *Post) update() (err error) {,0,7,0.26,0.13,0.02,0.0,1,202
Updates,1,9,0.48,0.02,0.0,0.0,1,202
"_, err = Db.Exec(""update posts set content = $2, author = $3 where id =",0,7,0.17,0.13,0.0,0.0,0,202
a post,1,9,0.48,0.04,0.0,0.0,1,202
"$1"", post.Id, post.Content, post.Author)",0,7,0.26,0.15,0.0,0.0,1,202
return,0,7,0.26,0.13,0.0,0.0,1,202
},0,7,0.17,0.13,0.0,0.0,0,202
Deletes a post,1,9,0.39,0.7,0.0,0.01,1,202
func (post *Post) delete() (err error) {,0,7,0.26,0.13,0.01,0.0,1,202
"_, err = Db.Exec(""delete from posts where id = $1"", post.Id)",0,7,0.26,0.13,0.0,0.0,1,202
return,0,7,0.26,0.13,0.0,0.0,1,202
},0,7,0.17,0.13,0.0,0.02,0,202
"As you can see, the code is similar to that of listing 6.6, with slightly different function",0,9,0.21,0.13,0.02,0.0,0,202
"and method names, so we won’t go through it again. If you need a refresher, please",0,9,0.21,0.13,0.0,0.0,0,202
flip back to section 6.4.,0,9,0.3,0.13,0.0,0.0,1,202
Now that you can do CRUD,0,9,0.3,0.15,0.0,0.0,1,202
"on the database, let’s turn to the actual web service.",0,9,0.21,0.38,0.0,0.0,1,202
The next listing shows the entire web service in a server.go file.,0,9,0.3,0.13,0.0,0.03,1,202
Listing 7.15 Go web service in server.go,1,9,0.48,0.15,0.03,0.02,1,202
package main,0,7,0.26,0.13,0.02,0.02,1,202
import (,0,7,0.26,0.13,0.02,0.0,1,202
"""encoding/json""",0,7,0.26,0.13,0.0,0.0,1,202
"""net/http""",0,7,0.26,0.13,0.0,0.0,1,202
"""path""",0,7,0.26,0.13,0.0,0.0,1,202
"""strconv""",0,7,0.26,0.13,0.0,0.0,1,202
),0,7,0.17,0.13,0.0,0.0,0,202
183,1,9,0.3,0.82,0.0,0.0,0,203
Creating Go web services,1,9,0.39,0.37,0.0,0.03,1,203
type Post struct {,0,7,0.26,0.14,0.03,0.0,1,203
"Id      int    `json:""id""`",0,7,0.26,0.14,0.0,0.0,1,203
"Content string `json:""content""`",0,7,0.26,0.14,0.0,0.0,1,203
"Author  string `json:""author""`",0,7,0.26,0.14,0.0,0.0,1,203
},0,7,0.17,0.14,0.0,0.02,0,203
func main() {,0,7,0.26,0.14,0.02,0.0,1,203
server := http.Server{,0,7,0.26,0.14,0.0,0.0,1,203
"Addr: ""127.0.0.1:8080"",",0,7,0.26,0.14,0.0,0.0,1,203
},0,7,0.17,0.14,0.0,0.0,0,203
"http.HandleFunc(""/post/"", handleRequest)",0,7,0.26,0.14,0.0,0.0,1,203
server.ListenAndServe(),0,7,0.26,0.14,0.0,0.0,1,203
Handler function to,1,9,0.39,0.75,0.0,0.0,1,203
},0,7,0.17,0.14,0.0,0.0,0,203
multiplex request to,1,9,0.39,0.75,0.0,0.0,1,203
the correct function,1,9,0.39,0.75,0.0,0.0,1,203
"func handleRequest(w http.ResponseWriter, r *http.Request) {",0,7,0.26,0.14,0.0,0.0,1,203
var err error,0,7,0.26,0.14,0.0,0.0,1,203
switch r.Method {,0,7,0.26,0.14,0.0,0.0,1,203
"case ""GET"":",0,7,0.26,0.14,0.0,0.0,1,203
"err = handleGet(w, r)",0,7,0.26,0.14,0.0,0.0,1,203
"case ""POST"":",0,7,0.26,0.14,0.0,0.0,1,203
"err = handlePost(w, r)",0,7,0.26,0.14,0.0,0.0,1,203
"case ""PUT"":",0,7,0.26,0.14,0.0,0.0,1,203
"err = handlePut(w, r)",0,7,0.26,0.14,0.0,0.0,1,203
"case ""DELETE"":",0,7,0.26,0.14,0.0,0.0,1,203
"err = handleDelete(w, r)",0,7,0.26,0.14,0.0,0.0,1,203
},0,7,0.17,0.14,0.0,0.0,0,203
if err != nil {,0,7,0.26,0.14,0.0,0.0,1,203
"http.Error(w, err.Error(), http.StatusInternalServerError)",0,7,0.26,0.14,0.0,0.0,1,203
return,0,7,0.26,0.14,0.0,0.0,1,203
},0,7,0.17,0.14,0.0,0.0,0,203
},0,7,0.17,0.14,0.0,0.02,0,203
"func handleGet(w http.ResponseWriter, r *http.Request) (err error) {",0,7,0.26,0.14,0.02,0.0,1,203
Retrieves,1,9,0.48,0.03,0.0,0.0,1,203
"id, err := strconv.Atoi(path.Base(r.URL.Path))",0,7,0.26,0.14,0.0,0.0,1,203
post,1,9,0.48,0.06,0.0,0.0,1,203
if err != nil {,0,7,0.26,0.14,0.0,0.0,1,203
return,0,7,0.26,0.14,0.0,0.0,1,203
},0,7,0.17,0.14,0.0,0.0,0,203
"post, err := retrieve(id)",0,7,0.26,0.14,0.0,0.0,1,203
if err != nil {,0,7,0.26,0.14,0.0,0.0,1,203
return,0,7,0.26,0.14,0.0,0.0,1,203
},0,7,0.17,0.14,0.0,0.0,0,203
"output, err := json.MarshalIndent(&post, """", ""\t\t"")",0,7,0.26,0.14,0.0,0.0,1,203
if err != nil {,0,7,0.26,0.14,0.0,0.0,1,203
return,0,7,0.26,0.14,0.0,0.0,1,203
},0,7,0.17,0.14,0.0,0.0,0,203
"w.Header().Set(""Content-Type"", ""application/json"")",0,7,0.26,0.14,0.0,0.0,1,203
w.Write(output),0,7,0.26,0.14,0.0,0.0,1,203
return,0,7,0.26,0.14,0.0,0.0,1,203
},0,7,0.17,0.14,0.0,0.02,0,203
"func handlePost(w http.ResponseWriter, r *http.Request) (err error) {",0,7,0.26,0.14,0.02,0.0,1,203
Creates,1,9,0.48,0.04,0.0,0.0,1,203
len := r.ContentLength,0,7,0.26,0.14,0.0,0.0,1,203
post,1,9,0.48,0.06,0.0,0.0,1,203
"body := make([]byte, len)",0,7,0.26,0.14,0.0,0.0,1,203
r.Body.Read(body),0,7,0.26,0.14,0.0,0.0,1,203
var post Post,0,7,0.26,0.14,0.0,0.0,1,203
184,1,9,0.39,0.06,0.0,0.0,0,204
Go web services,1,9,0.39,0.43,0.0,0.0,1,204
C 7,1,7,0.26,0.35,0.0,0.0,0,204
HAPTER,1,6,0.33,0.36,0.0,0.03,1,204
"json.Unmarshal(body, &post)",0,7,0.26,0.13,0.03,0.0,1,204
err = post.create(),0,7,0.26,0.13,0.0,0.0,1,204
if err != nil {,0,7,0.26,0.13,0.0,0.0,1,204
return,0,7,0.26,0.13,0.0,0.0,1,204
},0,7,0.17,0.13,0.0,0.0,0,204
w.WriteHeader(200),0,7,0.26,0.13,0.0,0.0,1,204
return,0,7,0.26,0.13,0.0,0.0,1,204
},0,7,0.17,0.13,0.0,0.02,0,204
"func handlePut(w http.ResponseWriter, r *http.Request) (err error) {",0,7,0.26,0.13,0.02,0.0,1,204
Updates post,1,9,0.39,0.8,0.0,0.0,1,204
"id, err := strconv.Atoi(path.Base(r.URL.Path))",0,7,0.26,0.13,0.0,0.0,1,204
if err != nil {,0,7,0.26,0.13,0.0,0.0,1,204
return,0,7,0.26,0.13,0.0,0.0,1,204
},0,7,0.17,0.13,0.0,0.0,0,204
"post, err := retrieve(id)",0,7,0.26,0.13,0.0,0.0,1,204
if err != nil {,0,7,0.26,0.13,0.0,0.0,1,204
return,0,7,0.26,0.13,0.0,0.0,1,204
},0,7,0.17,0.13,0.0,0.0,0,204
len := r.ContentLength,0,7,0.26,0.13,0.0,0.0,1,204
"body := make([]byte, len)",0,7,0.26,0.13,0.0,0.0,1,204
r.Body.Read(body),0,7,0.26,0.13,0.0,0.0,1,204
"json.Unmarshal(body, &post)",0,7,0.26,0.13,0.0,0.0,1,204
err = post.update(),0,7,0.26,0.13,0.0,0.0,1,204
if err != nil {,0,7,0.26,0.13,0.0,0.0,1,204
return,0,7,0.26,0.13,0.0,0.0,1,204
},0,7,0.17,0.13,0.0,0.0,0,204
w.WriteHeader(200),0,7,0.26,0.13,0.0,0.0,1,204
return,0,7,0.26,0.13,0.0,0.0,1,204
},0,7,0.17,0.13,0.0,0.02,0,204
"func handleDelete(w http.ResponseWriter, r *http.Request) (err error) {",0,7,0.17,0.13,0.02,0.0,0,204
Deletes,1,9,0.48,0.02,0.0,0.0,1,204
"id, err := strconv.Atoi(path.Base(r.URL.Path))",0,7,0.26,0.13,0.0,0.0,1,204
post,1,9,0.48,0.04,0.0,0.0,1,204
if err != nil {,0,7,0.26,0.13,0.0,0.0,1,204
return,0,7,0.26,0.13,0.0,0.0,1,204
},0,7,0.17,0.13,0.0,0.0,0,204
"post, err := retrieve(id)",0,7,0.26,0.13,0.0,0.0,1,204
if err != nil {,0,7,0.26,0.13,0.0,0.0,1,204
return,0,7,0.26,0.13,0.0,0.0,1,204
},0,7,0.17,0.13,0.0,0.0,0,204
err = post.delete(),0,7,0.26,0.13,0.0,0.0,1,204
if err != nil {,0,7,0.26,0.13,0.0,0.0,1,204
return,0,7,0.26,0.13,0.0,0.0,1,204
},0,7,0.17,0.13,0.0,0.0,0,204
w.WriteHeader(200),0,7,0.26,0.13,0.0,0.0,1,204
return,0,7,0.26,0.13,0.0,0.0,1,204
},0,7,0.17,0.13,0.0,0.02,0,204
The structure of the code is straightforward. You use a single handler function called,0,9,0.21,0.13,0.02,0.0,0,204
handleRequest that will multiplex to different,0,9,0.3,0.13,0.0,0.0,1,204
CRUD functions according to the,0,9,0.21,0.54,0.0,0.0,1,204
ResponseWriter and a,0,9,0.21,0.64,0.0,0.0,1,204
method that was used. Each of the called functions takes in a,0,9,0.3,0.13,0.0,0.0,1,204
"Request while returning an error, if any. The",0,9,0.3,0.13,0.0,0.0,1,204
handleRequest handler function will,0,9,0.21,0.52,0.0,0.0,1,204
"also take care of any errors that are floated up from the request, and throw a 500 sta-",0,9,0.21,0.13,0.0,0.0,0,204
tus code ( StatusInternalServerError,0,9,0.3,0.13,0.0,0.0,1,204
") with the error description, if there’s an error.",0,9,0.21,0.45,0.0,0.0,1,204
185,1,9,0.3,0.82,0.0,0.0,0,205
Creating Go web services,1,9,0.39,0.37,0.0,0.03,1,205
"Let’s delve into the details and start by creating a post, shown in this listing.",0,9,0.21,0.17,0.03,0.03,0,205
Listing 7.16 Function that creates a post,1,9,0.48,0.17,0.03,0.02,1,205
"func handlePost(w http.ResponseWriter, r *http.Request) (err error) {",0,7,0.26,0.14,0.02,0.0,1,205
len := r.ContentLength,0,7,0.26,0.14,0.0,0.0,1,205
Reads request,1,9,0.39,0.49,0.0,0.0,1,205
"body := make([]byte, len)",0,7,0.26,0.14,0.0,0.0,1,205
Creates,1,9,0.48,0.04,0.0,0.0,1,205
body into slice,1,9,0.39,0.49,0.0,0.0,1,205
r.Body.Read(body),0,7,0.26,0.14,0.0,0.0,1,205
slice,1,9,0.48,0.06,0.0,0.0,1,205
Unmarshals slice,1,9,0.39,0.63,0.0,0.0,1,205
var post Post,0,7,0.26,0.14,0.0,0.0,1,205
of bytes,1,9,0.48,0.04,0.0,0.0,1,205
into Post struct,1,9,0.39,0.63,0.0,0.0,1,205
"json.Unmarshal(body, &post)",0,7,0.26,0.14,0.0,0.0,1,205
err = post.create(),0,7,0.26,0.14,0.0,0.0,1,205
Creates database,1,9,0.39,0.47,0.0,0.0,1,205
if err != nil {,0,7,0.26,0.14,0.0,0.0,1,205
record,1,9,0.39,0.47,0.0,0.0,1,205
return,0,7,0.26,0.14,0.0,0.0,1,205
},0,7,0.17,0.14,0.0,0.0,0,205
w.WriteHeader(200),0,7,0.26,0.14,0.0,0.0,1,205
return,0,7,0.26,0.14,0.0,0.0,1,205
},0,7,0.17,0.14,0.0,0.02,0,205
"First, you create a slice of bytes with the correct content length size, and read the con-",0,9,0.21,0.14,0.02,0.0,0,205
Post struct and,0,9,0.21,0.72,0.0,0.0,1,205
tents of the body (which is a,0,9,0.3,0.14,0.0,0.0,1,205
"JSON string) into it. Next, you declare a",0,9,0.21,0.38,0.0,0.0,1,205
Post struct with the fields popu-,0,9,0.21,0.58,0.0,0.0,1,205
unmarshal the content into it. Now that you have a,0,9,0.3,0.14,0.0,0.0,1,205
"lated, you call the create",0,9,0.3,0.14,0.0,0.0,1,205
method on it to save it to the database.,0,9,0.21,0.35,0.0,0.0,1,205
"To call the web service, you’ll be using c",0,9,0.3,0.17,0.0,0.0,1,205
URL (see chapter 3). Run this command,0,9,0.21,0.51,0.0,0.0,1,205
on the console:,0,9,0.3,0.14,0.0,0.01,1,205
"curl -i -X POST -H ""Content-Type: application/json""  -d '{""content"":""My",0,7,0.17,0.14,0.01,0.0,0,205
"[CA} first post"",""author"":""Sau Sheong""}' http://127.0.0.1:8080/post/",0,7,0.26,0.14,0.0,0.02,1,205
You’re using the POST method and setting the,0,9,0.3,0.14,0.02,0.0,1,205
Content-Type header to,0,9,0.21,0.52,0.0,0.0,1,205
application/,0,9,0.21,0.73,0.0,0.01,1,205
json . A JSON string request body is sent to the,0,9,0.3,0.14,0.01,0.0,1,205
URL http://127.0.0.1/post/,0,9,0.21,0.57,0.0,0.0,1,205
. You,0,9,0.21,0.8,0.0,0.0,1,205
should see something like this:,0,9,0.3,0.14,0.0,0.01,1,205
HTTP/1.1 200 OK,0,7,0.26,0.14,0.01,0.0,1,205
"Date: Sun, 12 Apr 2015 13:32:14 GMT",0,7,0.26,0.14,0.0,0.0,1,205
Content-Length: 0,0,7,0.26,0.14,0.0,0.0,1,205
Content-Type: text/plain; charset=utf-8,0,7,0.26,0.14,0.0,0.02,1,205
This doesn’t tell us anything except that the handler function didn’t encounter any,0,9,0.21,0.14,0.02,0.0,0,205
errors. Let’s peek into the database by running this single line,0,9,0.3,0.14,0.0,0.0,1,205
SQL query from the,0,9,0.21,0.68,0.0,0.0,1,205
console:,0,9,0.3,0.14,0.0,0.01,1,205
"psql -U gwp -d gwp -c ""select * from posts;""",0,7,0.26,0.14,0.01,0.01,1,205
You should see this:,0,9,0.3,0.14,0.01,0.01,1,205
id |    content    |   author,0,7,0.26,0.14,0.01,0.0,1,205
----+---------------+------------,0,7,0.26,0.14,0.0,0.0,1,205
1 | My first post | Sau Sheong,0,7,0.26,0.14,0.0,0.0,1,205
(1 row),0,7,0.26,0.14,0.0,0.02,1,205
"postPost ),",0,9,0.21,0.75,0.02,0.0,1,205
"In each of the handler functions (except for the create handler function,",0,9,0.21,0.14,0.0,0.0,0,205
"id to the targeted post. For example, when",0,9,0.21,0.47,0.0,0.0,1,205
you assume the URL will contain the,0,9,0.3,0.14,0.0,0.0,1,205
186,1,9,0.39,0.06,0.0,0.0,0,206
Go web services,1,9,0.39,0.43,0.0,0.0,1,206
C 7,1,7,0.26,0.35,0.0,0.0,0,206
HAPTER,1,6,0.33,0.36,0.0,0.03,1,206
"you want to retrieve a post, you assume the web service will be called by a request to",0,9,0.21,0.13,0.03,0.0,0,206
a URL :,0,9,0.3,0.13,0.0,0.01,1,206
/post/<id>,0,7,0.26,0.13,0.01,0.01,1,206
where <id> is the id of the post. The next listing shows how this works in retrieving,0,9,0.21,0.13,0.01,0.0,0,206
the post.,0,9,0.3,0.13,0.0,0.03,1,206
Listing 7.17 Function that retrieves a post,1,9,0.48,0.15,0.03,0.02,1,206
"func handleGet(w http.ResponseWriter, r *http.Request) (err error) {",0,7,0.26,0.13,0.02,0.0,1,206
"id, err := strconv.Atoi(path.Base(r.URL.Path))",0,7,0.26,0.13,0.0,0.0,1,206
if err != nil {,0,7,0.26,0.13,0.0,0.0,1,206
return,0,7,0.26,0.13,0.0,0.0,1,206
},0,7,0.17,0.13,0.0,0.0,0,206
"post, err := retrieve(id)",0,7,0.26,0.13,0.0,0.0,1,206
Gets data from database,1,9,0.39,0.45,0.0,0.0,1,206
if err != nil {,0,7,0.26,0.13,0.0,0.0,1,206
into Post struct,1,9,0.39,0.45,0.0,0.0,1,206
return,0,7,0.26,0.13,0.0,0.0,1,206
},0,7,0.17,0.13,0.0,0.0,0,206
"output, err := json.MarshalIndent(&post, """", ""\t\t"")",0,7,0.26,0.13,0.0,0.0,1,206
Marshals the Post,1,9,0.39,0.68,0.0,0.0,1,206
if err != nil {,0,7,0.26,0.13,0.0,0.0,1,206
struct into JSON string,1,9,0.39,0.68,0.0,0.0,1,206
return,0,7,0.26,0.13,0.0,0.0,1,206
},0,7,0.17,0.13,0.0,0.0,0,206
"w.Header().Set(""Content-Type"", ""application/json"")",0,7,0.26,0.13,0.0,0.0,1,206
Writes JSON to,1,9,0.39,0.68,0.0,0.0,1,206
w.Write(output),0,7,0.26,0.13,0.0,0.0,1,206
ResponseWriter,1,9,0.39,0.68,0.0,0.0,1,206
return,0,7,0.26,0.13,0.0,0.0,1,206
},0,7,0.17,0.13,0.0,0.02,0,206
id using the path.Base function. The,0,9,0.21,0.49,0.02,0.0,1,206
id,0,9,0.12,0.81,0.0,0.0,0,206
"You extract the URL ’s path, and then get the",0,9,0.3,0.13,0.0,0.0,1,206
"is a string, but you need an integer to retrieve the post, so you convert it into an inte-",0,9,0.21,0.13,0.0,0.0,0,206
ger using strconv.Atoi . Once you have the,0,9,0.3,0.13,0.0,0.0,1,206
"id , you can use the retrievePost",0,9,0.21,0.5,0.0,0.0,1,206
func-,0,9,0.21,0.78,0.0,0.0,1,206
"tion, which gives you a Post",0,9,0.3,0.13,0.0,0.0,1,206
struct that’s filled with data.,0,9,0.21,0.36,0.0,0.0,1,206
Post struct into a,0,9,0.21,0.36,0.0,0.0,1,206
"Next, you convert the",0,9,0.3,0.15,0.0,0.0,1,206
-formatted slice of bytes using,0,9,0.21,0.56,0.0,0.0,1,206
JSON,0,9,0.21,0.52,0.0,0.0,1,206
the json.MarshalIndent,0,9,0.3,0.13,0.0,0.0,1,206
Content-Type header to,0,9,0.21,0.61,0.0,0.0,1,206
function. Then you set the,0,9,0.21,0.35,0.0,0.0,1,206
application/json and write the bytes to the,0,9,0.3,0.13,0.0,0.0,1,206
ResponseWriter to be returned to the,0,9,0.21,0.51,0.0,0.0,1,206
calling program.,0,9,0.3,0.13,0.0,0.0,1,206
"To see how this works, run this command on the console:",0,9,0.3,0.15,0.0,0.01,1,206
curl -i -X GET http://127.0.0.1:8080/post/1,0,7,0.26,0.13,0.01,0.01,1,206
id 1. The results would be,0,9,0.21,0.61,0.01,0.0,1,206
This tells you to use the GET,0,9,0.3,0.13,0.0,0.0,1,206
"method on the URL , with the",0,9,0.21,0.36,0.0,0.0,1,206
something like this:,0,9,0.3,0.13,0.0,0.01,1,206
HTTP/1.1 200 OK,0,7,0.26,0.13,0.01,0.0,1,206
Content-Type: application/json,0,7,0.26,0.13,0.0,0.0,1,206
"Date: Sun, 12 Apr 2015 13:32:18 GMT",0,7,0.26,0.13,0.0,0.0,1,206
Content-Length: 69,0,7,0.26,0.13,0.0,0.01,1,206
{,0,7,0.17,0.13,0.01,0.0,0,206
"""id"": 1,",0,7,0.26,0.13,0.0,0.0,1,206
"""content"": ""My first post"",",0,7,0.26,0.13,0.0,0.0,1,206
"""author"": ""Sau Sheong""",0,7,0.26,0.13,0.0,0.0,1,206
},0,7,0.17,0.13,0.0,0.0,0,206
187,1,9,0.3,0.82,0.0,0.0,0,207
Creating Go web services,1,9,0.39,0.37,0.0,0.03,1,207
"You need the results when updating the post too, shown in this listing.",0,9,0.21,0.14,0.03,0.03,0,207
Listing 7.18 Function that updates a post,1,9,0.48,0.17,0.03,0.02,1,207
"func handlePut(w http.ResponseWriter, r *http.Request) (err error) {",0,7,0.26,0.14,0.02,0.0,1,207
"id, err := strconv.Atoi(path.Base(r.URL.Path))",0,7,0.26,0.14,0.0,0.0,1,207
if err != nil {,0,7,0.26,0.14,0.0,0.0,1,207
